Distrito  Município	Freguesia	Nª Hab.	Área (ha)                 
Bragança    Miranda do Douro    Sendim    1 432     3 831
Bragança    Miranda do Douro    Silva    310    3 144
Bragança    Miranda do Douro    Vila Chã de Braciosa    391    4 282 
Bragança    Mirandela    Abambres    396    1 868
Bragança    Mirandela    Abreiro    311    2 420
Bragança    Mirandela    Aguieiras    375    1 468
Bragança    Mirandela    Alvites    282    1 781
Bragança    Mirandela    Avantos    123    1 289
Bragança    Mirandela    Avidagos    325    1 712
Bragança    Mirandela    Barcel    171    855
Bragança    Mirandela    Bouça    356    1 357
Bragança    Mirandela    Cabanelas    421    1 860
Bragança    Mirandela    Caravelas    269    1 259
Bragança    Mirandela    Carvalhais    1 350     2 478
Bragança    Mirandela    Cedães    455    2 534
Bragança    Mirandela    Cobro    242    1 237
Bragança    Mirandela    Fradizela    300    1 346
Bragança    Mirandela    Franco    302    1 715
Bragança    Mirandela    Frechas    1 137     1 841
Bragança    Mirandela    Freixeda    115    1 145
Bragança    Mirandela    Lamas de Orelhão    462    1 939
Bragança    Mirandela    Marmelos    204    2 253
Bragança    Mirandela    Mascarenhas    670    2 807
Bragança    Mirandela    Mirandela    11 109     2 978
Bragança    Mirandela    Múrias    353    2 243
Bragança    Mirandela    Navalho    130    856
Bragança    Mirandela    Passos    479    1 843
Bragança    Mirandela    Pereira    245    750
Bragança    Mirandela    Romeu    301    1 422
Bragança    Mirandela    S. Pedro Velho    413    2 354
Bragança    Mirandela    S. Salvador    295    1 423
Bragança    Mirandela    Suçães    770    3 594
Bragança    Mirandela    Torre de D. Chama    1 386     2 765
Bragança    Mirandela    Vale de Asnes    413    2 150
Bragança    Mirandela    Vale de Gouvinhas    380    1 769
Bragança    Mirandela    Vale de Salgueiro    422    1 520
Bragança    Mirandela    Vale de Telhas    364    1 335
Bragança    Mirandela    Valverde    198    1 759
Bragança    Mirandela    Vila Boa    118    933
Bragança    Mirandela    Vila Verde    100    987
Bragança    Mogadouro    Azinhoso    378    3 071
Bragança    Mogadouro    Bemposta    712    3 707
Bragança    Mogadouro    Bruçó    265    3 154
Bragança    Mogadouro    Brunhoso    277    2 076
Bragança    Mogadouro    Brunhozinho    138    1 574
Bragança    Mogadouro    Castanheira    102    1 421
Bragança    Mogadouro    Castelo Branco    540    5 457
Bragança    Mogadouro    Castro Vicente    420    3 376
Bragança    Mogadouro    Meirinhos    368    5 380
Bragança    Mogadouro    Mogadouro    3 638     4 910
Bragança    Mogadouro    Paradela    173    2 045
Bragança    Mogadouro    Penas Roias    459    3 304
Bragança    Mogadouro    Peredo da Bemposta    258    1 805
Bragança    Mogadouro    Remondes    294    1 958
Bragança    Mogadouro    Saldanha    203    2 572
Bragança    Mogadouro    Sanhoane    149    1 264
Bragança    Mogadouro    S. Martinho do Peso    441    5 201
Bragança    Mogadouro    Soutelo    180    1 797
Bragança    Mogadouro    Tó    209    2 366
Bragança    Mogadouro    Travanca    200    2 046
Bragança    Mogadouro    Urrós    425    3 247
Bragança    Mogadouro    Vale da Madre    154    1 153
Bragança    Mogadouro    Vale de Porco    158    1 586
Bragança    Mogadouro    Valverde    196    2 397
Bragança    Mogadouro    Ventozelo    189    2 397
Bragança    Mogadouro    Vila de Ala    359    2 652
Bragança    Mogadouro    Vilar de Rei    99    1 446
Bragança    Mogadouro    Vilarinho dos Galegos    251    2 436 
Bragança    Moncorvo    Açoreira    526    2 397
Bragança    Moncorvo    Adeganha    447    4 896
Bragança    Moncorvo    Cabeça Boa    469    2 583
Bragança    Moncorvo    Cardanha    276    1 551
Bragança    Moncorvo    Carviçais    882    6 419
Bragança    Moncorvo    Castedo    275    1 779
Bragança    Moncorvo    Felgar    1 100     3 623
Bragança    Moncorvo    Felgueiras    438    2 295
Bragança    Moncorvo    Horta da Vilariça    396    1 458
Bragança    Moncorvo    Larinho    439    2 957
Bragança    Moncorvo    Lousa    508    3 497
Bragança    Moncorvo    Maçores    223    1 601
Bragança    Moncorvo    Mós    309    5 869
Bragança    Moncorvo    Peredo dos Castelhanos    148    1 783
Bragança    Moncorvo    Souto da Velha    125    1 238
Bragança    Moncorvo    Torre de Moncorvo    3 033     3 588
Bragança    Moncorvo    Urros    325    5 743 
Bragança    Vila Flor    Assares    170    282
Bragança    Vila Flor    Benlhevai    214    1 234
Bragança    Vila Flor    Candoso    207    708
Bragança    Vila Flor    Carvalho de Egas    134    282
Bragança    Vila Flor    Freixiel    821    3 318
Bragança    Vila Flor    Lodões    142    783
Bragança    Vila Flor    Mourão    139    554
Bragança    Vila Flor    Nabo    218    1 046
Bragança    Vila Flor    Roios    176    1 561
Bragança    Vila Flor    Samões    413    1 355
Bragança    Vila Flor    Sampaio    192    892
Bragança    Vila Flor    Sta. Comba de Vilariça    473    1 183
Bragança    Vila Flor    Seixo de Manhoses    501    880
Bragança    Vila Flor    Trindade    177    1 350
Bragança    Vila Flor    Val de Torno    309    1 375
Bragança    Vila Flor    Vale Frechoso    241    2 251
Bragança    Vila Flor    Vila Flor    2 531     3 220
Bragança    Vila Flor    Vilarinho das Azenhas    140    1 421
Bragança    Vila Flor    Vilas Boas    715    2 857 
Bragança    Vimioso    Algoso    279    3 692
Bragança    Vimioso    Angueira    162    2 201
Bragança    Vimioso    Argozelo    809    2 955
Bragança    Vimioso    Avelanoso    204    2 943
Bragança    Vimioso    Caçarelhos    271    3 101
Bragança    Vimioso    Campo de Víboras    145    2 604
Bragança    Vimioso    Carção    525    2 760
Bragança    Vimioso    Matela    338    4 581
Bragança    Vimioso    Pinelo    271    3 313
Bragança    Vimioso    Santulhão    508    4 753
Bragança    Vimioso    Uva    172    3 493
Bragança    Vimioso    Vale de Frades    203    3 952
Bragança    Vimioso    Vilar Seco    220    2 308
Bragança    Vimioso    Vimioso    1 208     5 491 
Bragança    Vinhais    Agrochão    293    1 807
Bragança    Vinhais    Alvaredos    83    636
Bragança    Vinhais    Candedo    401    2 223
Bragança    Vinhais    Celas    365    3 675
Bragança    Vinhais    Curopos    278    2 156
Bragança    Vinhais    Edral    265    2 647
Bragança    Vinhais    Edrosa    184    2 262
Bragança    Vinhais    Ervedosa    445    3 098
Bragança    Vinhais    Fresulfe    100    1 815
Bragança    Vinhais    Mofreita    44    1 250
Bragança    Vinhais    Moimenta    184    1 735
Bragança    Vinhais    Montouto    165    2 782
Bragança    Vinhais    Nunes    187    853
Bragança    Vinhais    Ousilhão    135    1 486
Bragança    Vinhais    Paçó    236    1 692
Bragança    Vinhais    Penhas Juntas    265    2 755
Bragança    Vinhais    Pinheiro Novo    127    3 292
Bragança    Vinhais    Quirás    225    2 719
Bragança    Vinhais    Rebordelo    665    2 215
Bragança    Vinhais    Sta. Cruz    72    1 048
Bragança    Vinhais    Sta.lha    312    2 767
Bragança    Vinhais    S. Jomil    62    796
Bragança    Vinhais    Sobreiro de Baixo    404    1 868
Bragança    Vinhais    Soeira    120    1 397
Bragança    Vinhais    Travanca    119    1 166
Bragança    Vinhais    Tuizelo    505    3 480
Bragança    Vinhais    Vale das Fontes    430    1 665
Bragança    Vinhais    Vale de Janeiro    153    1 498
Bragança    Vinhais    Vila Boa de Ousilhão    195    763
Bragança    Vinhais    Vila Verde    240    1 430
Bragança    Vinhais    Vilar de Lomba    205    2 203
Bragança    Vinhais    Vilar de Ossos    344    1 635
Bragança    Vinhais    Vilar de Peregrinos    164    1 254
Bragança    Vinhais    Vilar Seco de Lomba    292    2 024
Bragança    Vinhais    Vinhais    2 382     3 376 
Castelo Branco    Belmonte    Belmonte    3 227     2 732
Castelo Branco    Belmonte    Caria    2 240     4 615
Castelo Branco    Belmonte    Colmeal da Torre    894    731
Castelo Branco    Belmonte    Inguias    846    1 505
Castelo Branco    Belmonte    Maçainhas    385    1 873
Castelo Branco    Castelo Branco    Alcains    4 928     3 709
Castelo Branco    Castelo Branco    Almaceda    943    7 246
Castelo Branco    Castelo Branco    Benquerenças    725    6 155
Castelo Branco    Castelo Branco    Cafede    289    1 552
Castelo Branco    Castelo Branco    Castelo Branco    31 242     16 966
Castelo Branco    Castelo Branco    Cebolais de Cima    1 290     1 286
Castelo Branco    Castelo Branco    Escalos de Baixo    946    4 602
Castelo Branco    Castelo Branco    Escalos de Cima    1 110     1 547
Castelo Branco    Castelo Branco    Freixial do Campo    537    1 862
Castelo Branco    Castelo Branco    Juncal do Campo    500    2 218
Castelo Branco    Castelo Branco    Lardosa    1 044     4 446
Castelo Branco    Castelo Branco    Louriçal do Campo    805    2 207
Castelo Branco    Castelo Branco    Lousa    752    3 572
Castelo Branco    Castelo Branco    Malpica do Tejo    758    24 610
Castelo Branco    Castelo Branco    Mata    590    2 397
Castelo Branco    Castelo Branco    Monforte da Beira    506    12 028
Castelo Branco    Castelo Branco    Ninho do Açor    473    1 190
Castelo Branco    Castelo Branco    Póvoa de Rio de Moinhos    685    2 549
Castelo Branco    Castelo Branco    Retaxo    1 047     1 231
Castelo Branco    Castelo Branco    Salgueiro do Campo    965    3 041
Castelo Branco    Castelo Branco    Santo André das Tojeiras    1 033     7 509
Castelo Branco    Castelo Branco    S. Vicente da Beira    1 597     10 055
Castelo Branco    Castelo Branco    Sarzedas    1 738     17 270
Castelo Branco    Castelo Branco    Sobral do Campo    516    3 129
Castelo Branco    Castelo Branco    Tinalhas    690    1 620 
Castelo Branco    Covilhã    Aldeia de S. Francisco de Assis    692    1 624
Castelo Branco    Covilhã    Aldeia do Carvalho    2 090     1 710
Castelo Branco    Covilhã    Aldeia do Souto    265    1 021
Castelo Branco    Covilhã    Barco    576    1 518
Castelo Branco    Covilhã    Boidobra    2 859     1 444
Castelo Branco    Covilhã    Canhoso    1 735     686
Castelo Branco    Covilhã    Cantar-Galo    2 492     570
Castelo Branco    Covilhã    Casegas    701    4 259
Castelo Branco    Covilhã    Cortes do Meio    969    4 819
Castelo Branco    Covilhã    Coutada    476    774
Castelo Branco    Covilhã    Covilhã (Conceição)    7 563     400
Castelo Branco    Covilhã    Covilhã (Sta. Maria)    2 490     365
Castelo Branco    Covilhã    Covilhã (S. Martinho)    4 911     884
Castelo Branco    Covilhã    Covilhã (S. Pedro)    2 742     437
Castelo Branco    Covilhã    Dominguizo    1 188     488
Castelo Branco    Covilhã    Erada    845    3 932
Castelo Branco    Covilhã    Ferro    1 834     2 719
Castelo Branco    Covilhã    Orjais    859    1 555
Castelo Branco    Covilhã    Ourondo    416    921
Castelo Branco    Covilhã    Paul    1 816     2 150
Castelo Branco    Covilhã    Peraboa    1 072     3 060
Castelo Branco    Covilhã    Peso    780    1 125
Castelo Branco    Covilhã    S. Jorge da Beira    694    2 489
Castelo Branco    Covilhã    Sarzedo    175    1 110
Castelo Branco    Covilhã    Sobral de S. Miguel    686    2 237
Castelo Branco    Covilhã    Teixoso    4 415     3 431
Castelo Branco    Covilhã    Tortosendo    5 426     1 923
Castelo Branco    Covilhã    Unhais da Serra    1 385     3 211
Castelo Branco    Covilhã    Vale Formoso    640    1 149
Castelo Branco    Covilhã    Vales do Rio    839    486
Castelo Branco    Covilhã    Verdelhos    875    3 146 
Castelo Branco    Fundão    Alcaide    764    1 695
Castelo Branco    Fundão    Alcaria    1 271     2 151
Castelo Branco    Fundão    Alcongosta    573    748
Castelo Branco    Fundão    Aldeia de Joanes    971    799
Castelo Branco    Fundão    Aldeia Nova do Cabo    683    969
Castelo Branco    Fundão    Alpedrinha    1 184     1 822
Castelo Branco    Fundão    Atalaia do Campo    645    1 119
Castelo Branco    Fundão    Barroca    634    2 314
Castelo Branco    Fundão    Bogas de Baixo    275    3 390
Castelo Branco    Fundão    Bogas de Cima    466    3 132
Castelo Branco    Fundão    Capinha    620    5 192
Castelo Branco    Fundão    Castelejo    824    2 948
Castelo Branco    Fundão    Castelo Novo    439    4 091
Castelo Branco    Fundão    Donas    912    808
Castelo Branco    Fundão    Enxames    596    2 245
Castelo Branco    Fundão    Escarigo    309    932
Castelo Branco    Fundão    Fatela    549    1 059
Castelo Branco    Fundão    Fundão    8 957     1 791
Castelo Branco    Fundão    Janeiro de Cima    352    1 192
Castelo Branco    Fundão    Lavacolhos    242    1 938
Castelo Branco    Fundão    Mata da Rainha    214    2 036
Castelo Branco    Fundão    Orca    800    5 458
Castelo Branco    Fundão    Pêro Viseu    831    1 925
Castelo Branco    Fundão    Póvoa de Atalaia    791    1 107
Castelo Branco    Fundão    Salgueiro    807    5 649
Castelo Branco    Fundão    Silvares    1 104     2 095
Castelo Branco    Fundão    Soalheira    1 130     1 394
Castelo Branco    Fundão    Souto da Casa    988    2 913
Castelo Branco    Fundão    Telhado    619    1 752
Castelo Branco    Fundão    Vale de Prazeres    1 510     4 050
Castelo Branco    Fundão    Valverde    1 422     1 451 
Castelo Branco    Idanha-a-Nova    Alcafozes    252    5 657
Castelo Branco    Idanha-a-Nova    Aldeia de Sta. Margarida    369    1 360
Castelo Branco    Idanha-a-Nova    Idanha-a-Nova    2 519     22 629
Castelo Branco    Idanha-a-Nova    Idanha-a-Velha    79    2 098
Castelo Branco    Idanha-a-Nova    Ladoeiro    1 386     6 311
Castelo Branco    Idanha-a-Nova    Medelim    342    3 047
Castelo Branco    Idanha-a-Nova    Monfortinho    608    5 318
Castelo Branco    Idanha-a-Nova    Monsanto    1 160     13 176
Castelo Branco    Idanha-a-Nova    Oledo    485    2 757
Castelo Branco    Idanha-a-Nova    Penha Garcia    928    12 857
Castelo Branco    Idanha-a-Nova    Proença-a-Velha    282    5 775
Castelo Branco    Idanha-a-Nova    Rosmaninhal    733    26 590
Castelo Branco    Idanha-a-Nova    Salvaterra do Extremo    203    8 185
Castelo Branco    Idanha-a-Nova    S. Miguel de Acha    702    4 124
Castelo Branco    Idanha-a-Nova    Segura    233    7 376
Castelo Branco    Idanha-a-Nova    Toulões    318    3 676
Castelo Branco    Idanha-a-Nova    Zebreira    1 063     10 337 
Castelo Branco    Oleiros    Álvaro    315    3 363
Castelo Branco    Oleiros    Amieira    207    2 629
Castelo Branco    Oleiros    Cambas    349    4 735
Castelo Branco    Oleiros    Estreito    969    6 873
Castelo Branco    Oleiros    Isna    304    2 758
Castelo Branco    Oleiros    Madeirã    225    2 027
Castelo Branco    Oleiros    Mosteiro    422    1 717
Castelo Branco    Oleiros    Oleiros    2 470     11 939
Castelo Branco    Oleiros    Orvalho    689    3 479
Castelo Branco    Oleiros    Sarnadas de S. Simão    317    2 853
Castelo Branco    Oleiros    Sobral    251    1 820
Castelo Branco    Oleiros    Vilar Barroco    159    2 359 
Castelo Branco    Penamacôr    Águas    330    1 519
Castelo Branco    Penamacôr    Aldeia de João Pires    221    1 113
Castelo Branco    Penamacôr    Aldeia do Bispo    748    651
Castelo Branco    Penamacôr    Aranhas    440    550
Castelo Branco    Penamacôr    Bemposta    184    1 000
Castelo Branco    Penamacôr    Benquerença    695    2 868
Castelo Branco    Penamacôr    Meimão    347    3 322
Castelo Branco    Penamacôr    Meimoa    456    2 058
Castelo Branco    Penamacôr    Pedrógão    580    2 178
Castelo Branco    Penamacôr    Penamacor    1 735     37 333
Castelo Branco    Penamacôr    Salvador    589    1 021
Castelo Branco    Penamacôr    Vale da Senhora da Póvoa    333    1 939 
Castelo Branco    Penamacôr    Alvito da Beira    436    3 626
Castelo Branco    Penamacôr    Montes da Senhora    925    3 373
Castelo Branco    Penamacôr    Peral    792    2 563
Castelo Branco    Penamacôr    Proença-a-Nova    4 675     15 367
Castelo Branco    Penamacôr    S. Pedro do Esteval    666    6 096
Castelo Branco    Penamacôr    Sobreira Formosa    2 116     8 501 
Castelo Branco    Proença-a-Nova    Alvito da Beira    436    3 626
Castelo Branco    Proença-a-Nova    Montes da Senhora    925    3 373
Castelo Branco    Proença-a-Nova    Peral    792    2 563
Castelo Branco    Proença-a-Nova    Proença-a-Nova    4 675     15 367
Castelo Branco    Proença-a-Nova    S. Pedro do Esteval    666    6 096
Castelo Branco    Proença-a-Nova    Sobreira Formosa    2 116     8 501 
Castelo Branco    Sertã    Cabeçudo    999    995
Castelo Branco    Sertã    Carvalhal    613    984
Castelo Branco    Sertã    Castelo    1 163     2 462
Castelo Branco    Sertã    Cernache do Bonjardim    3 283     7 206
Castelo Branco    Sertã    Cumeada    573    2 310
Castelo Branco    Sertã    Ermida    301    2 798
Castelo Branco    Sertã    Figueiredo    286    1 470
Castelo Branco    Sertã    Marmeleiro    304    2 970
Castelo Branco    Sertã    Nesperal    335    774
Castelo Branco    Sertã    Palhais    346    2 204
Castelo Branco    Sertã    Pedrógão Pequeno    916    4 275
Castelo Branco    Sertã    Sertã    5 500     8 171
Castelo Branco    Sertã    Troviscal    1 134     5 406
Castelo Branco    Sertã    Várzea dos Cavaleiros    968    3 288 
Castelo Branco    Vila de Rei    Fundada    676    3 629
Castelo Branco    Vila de Rei    S. João do Peso    174    1 295
Castelo Branco    Vila de Rei    Vila de Rei    2 504     14 202 
Castelo Branco    Vila Velha de Ródão    Fratel    760    9 786
Castelo Branco    Vila Velha de Ródão    Perais    589    8 184
Castelo Branco    Vila Velha de Ródão    Sarnadas de Ródão    693    5 983
Castelo Branco    Vila Velha de Ródão    Vila Velha de Ródão    2 056     9 041 
Coimbra    Arganil    Anceriz    188    423
Coimbra    Arganil    Arganil    3 981     3 438
Coimbra    Arganil    Barril de Alva    386    331
Coimbra    Arganil    Benfeita    503    2 210
Coimbra    Arganil    Celavisa    283    1 539
Coimbra    Arganil    Cepos    174    1 327
Coimbra    Arganil    Cerdeira    330    547
Coimbra    Arganil    Coja    1 650     2 063
Coimbra    Arganil    Folques    458    1 827
Coimbra    Arganil    Moura da Serra    168    1 195
Coimbra    Arganil    Piódão    224    3 636
Coimbra    Arganil    Pomares    587    3 168
Coimbra    Arganil    Pombeiro da Beira    1 252     3 238
Coimbra    Arganil    S. Martinho da Cortiça    1 536     3 178
Coimbra    Arganil    Sarzedo    731    1 159
Coimbra    Arganil    Secarias    451    695
Coimbra    Arganil    Teixeira    188    1 960
Coimbra    Arganil    Vila Cova de Alva    533    1 279 
Coimbra    Cantanhede    Ançã    2 579     1 811
Coimbra    Cantanhede    Bolho    943    670
Coimbra    Cantanhede    Cadima    3 217     2 372
Coimbra    Cantanhede    Camarneira    870    847
Coimbra    Cantanhede    Cantanhede    7 066     4 653
Coimbra    Cantanhede    Cordinhã    1 141     1 025
Coimbra    Cantanhede    Corticeiro de Cima    858    558
Coimbra    Cantanhede    Covões    2 468     2 821
Coimbra    Cantanhede    Febres    3 591     2 243
Coimbra    Cantanhede    Murtede    1 530     2 027
Coimbra    Cantanhede    Ourentã    1 310     1 788
Coimbra    Cantanhede    Outil    865    1 513
Coimbra    Cantanhede    Pocariça    1 163     1 229
Coimbra    Cantanhede    Portunhos    1 228     1 524
Coimbra    Cantanhede    Sanguinheira    2 158     2 769
Coimbra    Cantanhede    S. Caetano    938    1 723
Coimbra    Cantanhede    Sepins    1 200     1 109
Coimbra    Cantanhede    Tocha    4 016     7 916
Coimbra    Cantanhede    Vilamar    770    620
Coimbra    Coimbra    Almalaguês    3 440     2 268
Coimbra    Coimbra    Ameal    1 678     1 125
Coimbra    Coimbra    Antanhol    2 447     1 049
Coimbra    Coimbra    Antuzede    2 265     912
Coimbra    Coimbra    Arzila    728    137
Coimbra    Coimbra    Assafarge    2 268     1 023
Coimbra    Coimbra    Botão    1 683     1 652
Coimbra    Coimbra    Brasfemes    1 847     1 031
Coimbra    Coimbra    Castelo Viegas    1 771     711
Coimbra    Coimbra    Ceira    4 199     1 277
Coimbra    Coimbra    Cernache    3 871     1 955
Coimbra    Coimbra    Coimbra (Almedina)    1 557     109
Coimbra    Coimbra    Coimbra (Sta. Cruz)    6 868     546
Coimbra    Coimbra    Coimbra (S. Bartolomeu)    856    22
Coimbra    Coimbra    Coimbra (Sé Nova)    8 295     143
Coimbra    Coimbra    Eiras    12 053     902
Coimbra    Coimbra    Lamarosa    2 189     1 616
Coimbra    Coimbra    Ribeira de Frades    2 064     610
Coimbra    Coimbra    Sta. Clara    9 637     977
Coimbra    Coimbra    Santo António dos Olivais    39 516     1 913
Coimbra    Coimbra    S. João do Campo    2 309     731
Coimbra    Coimbra    S. Martinho de Árvore    1 003     326
Coimbra    Coimbra    S. Martinho do Bispo    14 246     1 696
Coimbra    Coimbra    S. Paulo de Frades    5 912     1 493
Coimbra    Coimbra    S. Silvestre    3 092     1 226
Coimbra    Coimbra    Souselas    3 146     1 494
Coimbra    Coimbra    Taveiro    2 064     1 023
Coimbra    Coimbra    Torre de Vilela    1 146     444
Coimbra    Coimbra    Torres do Mondego    2 550     1 671
Coimbra    Coimbra    Trouxemil    2 999     781
Coimbra    Coimbra    Vil de Matos    775    820
Coimbra    Condeixa-a-Nova    Anobra    1 357     1 282
Coimbra    Condeixa-a-Nova    Belide    279    280
Coimbra    Condeixa-a-Nova    Bem da Fé    117    234
Coimbra    Condeixa-a-Nova    Condeixa-a-Nova    3 980     292
Coimbra    Condeixa-a-Nova    Condeixa-a-Velha    3 318     2 264
Coimbra    Condeixa-a-Nova    Ega    2 882     3 487
Coimbra    Condeixa-a-Nova    Furadouro    223    1 368
Coimbra    Condeixa-a-Nova    Sebal    1 793     1 668
Coimbra    Condeixa-a-Nova    Vila Seca    962    1 437
Coimbra    Condeixa-a-Nova    Zambujal    429    1 804 
Coimbra    Figueira da Foz    Alhadas    4 069     2 909
Coimbra    Figueira da Foz    Alqueidão    1 963     1 374
Coimbra    Figueira da Foz    Bom Sucesso    2 006     6 094
Coimbra    Figueira da Foz    Borda do Campo    953    964
Coimbra    Figueira da Foz    Brenha    951    606
Coimbra    Figueira da Foz    Buarcos    8 051     1 214
Coimbra    Figueira da Foz    Ferreira-a-Nova    1 678     1 125
Coimbra    Figueira da Foz    Lavos    4 171     3 574
Coimbra    Figueira da Foz    Maiorca    3 006     2 699
Coimbra    Figueira da Foz    Marinha das Ondas    3 241     2 897
Coimbra    Figueira da Foz    Moinhos da Gândara    1 376     1 108
Coimbra    Figueira da Foz    Paião    2 404     2 038
Coimbra    Figueira da Foz    Quiaios    3 118     4 954
Coimbra    Figueira da Foz    Santana    1 146     1 474
Coimbra    Figueira da Foz    S. Julião da Figueira da Foz    10 848     362
Coimbra    Figueira da Foz    S. Pedro    2 705     583
Coimbra    Figueira da Foz    Tavarede    7 722     970
Coimbra    Figueira da Foz    Vila Verde    3 193     2 876 
Coimbra    Góis    Alvares    1 007     9 866
Coimbra    Góis    Cadafaz    283    3 415
Coimbra    Góis    Colmeal    229    3 661
Coimbra    Góis    Góis    2 345     7 337
Coimbra    Góis    Vila Nova do Ceira    997    2 093 
Coimbra    Lousã    Casal de Ermio    362    424
Coimbra    Lousã    Foz de Arouce    1 112     1 628
Coimbra    Lousã    Gândaras    (*)     (*)
Coimbra    Lousã    Lousã    10 395     5 739
Coimbra    Lousã    Serpins    1 712     3 612
Coimbra    Lousã    Vilarinho    2 172     2 513 
Coimbra    Mira    Carapelhos    766    392
Coimbra    Mira    Mira    7 782     6 257
Coimbra    Mira    Praia de Mira    2 985     3 982
Coimbra    Mira    Seixo    1 339     1 570 
Coimbra    Miranda do Corvo    Lamas    935    1 583
Coimbra    Miranda do Corvo    Miranda do Corvo    7 140     4 661
Coimbra    Miranda do Corvo    Rio Vide    897    1 146
Coimbra    Miranda do Corvo    Semide    3 001     2 600
Coimbra    Miranda do Corvo    Vila Nova    1 104     2 708 
Coimbra    Montemor-o-Velho    Abrunheira    735    1 164
Coimbra    Montemor-o-Velho    Arazede    5 956     5 272
Coimbra    Montemor-o-Velho    Carapinheira    3 093     1 230
Coimbra    Montemor-o-Velho    Ereira    714    726
Coimbra    Montemor-o-Velho    Gatões    541    576
Coimbra    Montemor-o-Velho    Liceia    1 359     1 320
Coimbra    Montemor-o-Velho    Meãs do Campo    1 716     958
Coimbra    Montemor-o-Velho    Montemor-o-Velho    2 853     2 482
Coimbra    Montemor-o-Velho    Pereira    2 241     1 296
Coimbra    Montemor-o-Velho    Santo Varão    1 502     1 187
Coimbra    Montemor-o-Velho    Seixo de Gatões    1 429     1 423
Coimbra    Montemor-o-Velho    Tentúgal    2 275     3 448
Coimbra    Montemor-o-Velho    Verride    699    615
Coimbra    Montemor-o-Velho    Vila Nova da Barca    365    1 165 
Coimbra    Oliveira do Hospital    Aldeia das Dez    627    1 812
Coimbra    Oliveira do Hospital    Alvoco das Várzeas    366    1 073
Coimbra    Oliveira do Hospital    Avô    633    771
Coimbra    Oliveira do Hospital    Bobadela    761    596
Coimbra    Oliveira do Hospital    Ervedal    1 077     2 080
Coimbra    Oliveira do Hospital    Lagares    1 503     1 343
Coimbra    Oliveira do Hospital    Lagos da Beira    912    849
Coimbra    Oliveira do Hospital    Lajeosa    610    500
Coimbra    Oliveira do Hospital    Lourosa    651    1 367
Coimbra    Oliveira do Hospital    Meruge    668    768
Coimbra    Oliveira do Hospital    Nogueira do Cravo    2 289     1 492
Coimbra    Oliveira do Hospital    Oliveira do Hospital    4 390     877
Coimbra    Oliveira do Hospital    Penalva de Alva    1 080     1 212
Coimbra    Oliveira do Hospital    Sta. Ovaia    647    245
Coimbra    Oliveira do Hospital    S. Gião    574    1 419
Coimbra    Oliveira do Hospital    S. Paio de Gramaços    987    453
Coimbra    Oliveira do Hospital    S. Sebastião da Feira    229    238
Coimbra    Oliveira do Hospital    Seixo da Beira    1 722     3 448
Coimbra    Oliveira do Hospital    Travanca de Lagos    1 448     1 677
Coimbra    Oliveira do Hospital    Vila Franca da Beira    555    723
Coimbra    Oliveira do Hospital    Vila Pouca da Beira    383    512
Coimbra    Pampilhosa da Serra    Cabril    309    3 447
Coimbra    Pampilhosa da Serra    Dornelas do Zêzere    677    1 640
Coimbra    Pampilhosa da Serra    Fajão    295    6 570
Coimbra    Pampilhosa da Serra    Janeiro de Baixo    764    4 054
Coimbra    Pampilhosa da Serra    Machio    146    1 498
Coimbra    Pampilhosa da Serra    Pampilhosa da Serra    1 514     10 023
Coimbra    Pampilhosa da Serra    Pessegueiro    218    3 191
Coimbra    Pampilhosa da Serra    Portela do Fojo    572    3 787
Coimbra    Pampilhosa da Serra    Unhais-o-Velho    632    4 006
Coimbra    Pampilhosa da Serra    Vidual    93    1 433 
Coimbra    Penacova    Carvalho    977    3 190
Coimbra    Penacova    Figueira de Lorvão    2 840     2 832
Coimbra    Penacova    Friúmes    685    1 474
Coimbra    Penacova    Lorvão    4 220     2 577
Coimbra    Penacova    Oliveira do Mondego    734    1 222
Coimbra    Penacova    Paradela    265    782
Coimbra    Penacova    Penacova    3 584     3 175
Coimbra    Penacova    S. Paio de Mondego    259    874
Coimbra    Penacova    S. Pedro de Alva    1 810     2 837
Coimbra    Penacova    Sazes do Lorvão    814    1 783
Coimbra    Penacova    Travanca do Mondego    537    1 023 
Coimbra    Penela    Cumeeira    1 273     1 953
Coimbra    Penela    Espinhal    895    2 939
Coimbra    Penela    Penela (Sta. Eufémia)    1 762     2 495
Coimbra    Penela    Penela (S. Miguel)    1 741     3 261
Coimbra    Penela    Podentes    584    1 722
Coimbra    Penela    Rabaçal    339    879
Coimbra    Soure    Alfarelos    1 566     1 342
Coimbra    Soure    Brunhós    202    233
Coimbra    Soure    Degracias    516    1 386
Coimbra    Soure    Figueiró do Campo    1 673     891
Coimbra    Soure    Gesteira    1 104     1 330
Coimbra    Soure    Granja do Ulmeiro    1 669     668
Coimbra    Soure    Pombalinho    1 006     2 537
Coimbra    Soure    Samuel    1 398     3 165
Coimbra    Soure    Soure    8 459     9 221
Coimbra    Soure    Tapéus    447    1 441
Coimbra    Soure    Vila Nova de Anços    1 318     2 050
Coimbra    Soure    Vinha da Rainha    1 583     2 127 
Coimbra    Tábua    Ázere    799    1 195
Coimbra    Tábua    Candosa    818    1 168
Coimbra    Tábua    Carapinha    405    949
Coimbra    Tábua    Covas    1 196     1 747
Coimbra    Tábua    Covelo    308    1 324
